Ticker,omega,alpha,beta
JPM,2.7022138070142107e-07,0.2,0.7
AMAT,2.834046925654222e-06,0.20000080583059338,0.49999955035183247
BAC,3.204238103081845e-07,0.2,0.7
CITI,4.456517496557931e-06,0.19999965565518982,0.30000120737097163
LRCX,3.189548286003085e-06,0.20000000326883455,0.49999999795697836
MS,2.448571247939024e-06,0.20000032831074235,0.499999794805786
NVDA,8.876093359766425e-07,0.20000000036021798,0.499999999476142
RIVN,1.1155973625862185e-06,0.2000000028012626,0.7000000009879734
SAN,1.592053268329644e-05,0.011297063255884945,0.6890983202529831
SHEL,2.6414709736165437e-07,0.2,0.7
STLA,6.3710214371900075e-06,0.00999999965610446,0.4900000172081973
TSM,2.304143778356371e-06,0.20000000302962712,0.3000000033943278
VLO,3.2821159470040554e-06,0.1999999609951502,0.49999990248787535
WFC,5.75190884360916e-07,0.10000000273388746,0.7999999975698778
XOM,3.167792140735695e-07,0.2,0.7
