Ticker,Date,Revenue,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,ROA,ROE,LogAssets
BAC,2021-12-30,9994.0,7827.0,12.38,3169495.0,198844.0,0.82,3.9059850228506435e-06,6.225986200237372e-05,14.969082827169224
BAC,2022-03-30,10683.0,7985.0,12.1,3238223.0,195495.0,0.8,3.736617274350778e-06,6.189416609120438e-05,14.990535280520948
BAC,2022-06-29,9673.0,7390.0,10.76,3111606.0,197996.0,0.73,3.4580213561742712e-06,5.4344532212771975e-05,14.950649549581312
BAC,2022-09-29,9523.0,8808.0,10.58,3072953.0,198402.0,0.81,3.44294234243088e-06,5.332607534198244e-05,14.938149546495172
BAC,2022-12-30,9129.0,7986.0,10.61,3051375.0,202075.0,0.85,3.4771209700544835e-06,5.2505257948781394e-05,14.931102866667068
BAC,2023-03-30,10909.0,9178.0,11.02,3194657.0,209074.0,0.94,3.449509603065368e-06,5.270861034848905e-05,14.976990284788219
BAC,2023-06-29,10014.0,8310.0,11.41,3123198.0,212298.0,0.88,3.653306642742471e-06,5.374520720873489e-05,14.954368034831854
BAC,2023-09-29,9784.0,8171.0,11.59,3153090.0,216043.0,0.9,3.6757593344940994e-06,5.3646727734756504e-05,14.963893482363396
BAC,2023-12-30,7327.0,9489.0,9.71,3180151.0,220625.0,0.33,3.053314135083523e-06,4.401133144475921e-05,14.972439237905746
BAC,2024-03-30,10748.0,8059.0,8.95,3273803.0,222531.0,0.76,2.733823629583087e-06,4.021911553895861e-05,15.001462864058274
BAC,2024-06-29,10504.0,7613.0,8.66,3257996.0,222871.0,0.83,2.6580757005226527e-06,3.885655827810707e-05,14.99662284039629
BAC,2024-09-29,10613.0,7362.0,8.19,3324293.0,225591.0,0.81,2.46368175127764e-06,3.630463981275849e-05,15.016767577883845
BAC,2024-12-30,10162.0,12155.0,9.46,3261519.0,224538.0,0.8,2.900489005276376e-06,4.2130953335292915e-05,14.997703595741715
BAC,2025-03-30,11105.0,9672.0,9.7,3349424.0,224660.0,0.9,2.896020330659839e-06,4.3176355381465326e-05,15.024298948719315
BAC,2025-06-29,10803.0,7470.0,9.73,3441142.0,228678.0,0.89,2.827549691352464e-06,4.25489115699805e-05,15.05131395100168
BAC,2025-09-29,11713.0,9188.0,10.21,3403716.0,233231.0,1.05,2.9996627215666646e-06,4.377634190995194e-05,15.040378333937477
BAC,2025-12-30,10342.0,13135.0,10.57,3411738.0,232422.0,0.95,3.098127699137507e-06,4.54776226002702e-05,15.042732396837636
CITI,2021-12-30,6314.0,4064.0,11.43,2291413.0,176878.0,1.46,4.988188510757336e-06,6.462081208516604e-05,14.644679215813017
CITI,2022-03-30,8523.0,6009.0,9.51,2394105.0,173966.0,2.02,3.97225685590231e-06,5.466585424738167e-05,14.688520023787373
CITI,2022-06-29,8450.0,6749.0,8.66,2380904.0,175503.0,2.3,3.6372739094058393e-06,4.934388585950098e-05,14.682990805462543
CITI,2022-09-29,5395.0,3956.0,8.06,2381064.0,175306.0,1.63,3.3850413092634218e-06,4.597674922706582e-05,14.683058004570164
CITI,2022-12-30,4729.0,3216.0,7.63,2416676.0,177719.0,1.16,3.157229185873489e-06,4.293294470484304e-05,14.697903600224256
CITI,2023-03-30,7168.0,5334.0,7.76,2455113.0,184505.0,2.19,3.160750645693294e-06,4.205848079997832e-05,14.713683346664716
CITI,2023-06-29,5612.0,4191.0,6.69,2423675.0,184848.0,1.33,2.7602710759487145e-06,3.6191898208257595e-05,14.700795541274774
CITI,2023-09-29,5986.0,4556.0,6.66,2368477.0,185826.0,1.63,2.8119335758801965e-06,3.583997933550741e-05,14.677757690511376
CITI,2023-12-30,-607.0,613.0,4.24,2411834.0,181732.0,-1.14,1.7579982701960418e-06,2.3331058921928996e-05,14.695898011906936
CITI,2024-03-30,6647.0,5183.0,3.5,2432510.0,183018.0,1.58,1.438843005784149e-06,1.912380203040138e-05,14.704434204030763
CITI,2024-06-29,5892.0,4850.0,3.67,2405686.0,185214.0,1.52,1.5255523788225064e-06,1.9814916798946083e-05,14.693345659934304
CITI,2024-09-29,5784.0,4505.0,3.5,2430663.0,186090.0,1.51,1.4399363465852732e-06,1.880810360578215e-05,14.703674617608975
CITI,2024-12-30,4964.0,4384.0,6.05,2352945.0,185572.0,1.34,2.5712458217255398e-06,3.2601901148880216e-05,14.671178293020674
CITI,2025-03-30,6706.0,5546.0,6.35,2571514.0,189406.0,1.96,2.4693624067378206e-06,3.352586507291216e-05,14.760005388475502
CITI,2025-06-29,5720.0,5491.0,6.67,2622772.0,189843.0,1.96,2.543110876584011e-06,3.513429518075462e-05,14.779742331700769
CITI,2025-09-29,6063.0,6131.0,6.95,2642475.0,190421.0,1.86,2.6301100294231733e-06,3.6498075317323194e-05,14.787226535943839
CITI,2025-12-30,3262.0,3843.0,6.8,2657202.0,190440.0,1.19,2.559082824715622e-06,3.570678428901491e-05,14.792784247444926
JPM,2021-12-30,15656.0,12794.0,18.29,3743567.0,237436.0,3.33,4.8857146138963184e-06,7.703128421974763e-05,15.135549458182043
JPM,2022-03-30,16845.0,10182.0,16.13,3954687.0,227414.0,2.63,4.07870458521749e-06,7.092791121039161e-05,15.190412015723432
JPM,2022-06-29,15587.0,10938.0,14.68,3841314.0,226783.0,2.76,3.8216089598507175e-06,6.473148340043124e-05,15.161325053531119
JPM,2022-09-29,15198.0,12048.0,13.8,3773884.0,227212.0,3.12,3.6567101691519933e-06,6.0736228720314074e-05,15.143615267819282
JPM,2022-12-30,14355.0,13264.0,13.69,3665743.0,231473.0,3.57,3.734577137568018e-06,5.9142966998310816e-05,15.1145416012692
JPM,2023-03-30,17299.0,15804.0,15.22,3744305.0,240992.0,4.1,4.064839803381402e-06,6.315562342318417e-05,15.135746576936848
JPM,2023-06-29,16816.0,15893.0,17.11,3868240.0,248278.0,4.75,4.423200215084896e-06,6.891468434577369e-05,15.168310181200255
JPM,2023-09-29,17048.0,17542.0,18.16,3898333.0,252461.0,4.33,4.658401424403713e-06,7.193190235323476e-05,15.176059583825676
JPM,2023-12-30,14560.0,14655.0,16.89,3875393.0,263497.0,3.04,4.358267664724584e-06,6.409940151121265e-05,15.170157634981829
JPM,2024-03-30,18852.0,18176.0,16.66,4090727.0,272263.0,4.44,4.07262572154045e-06,6.119083386284585e-05,15.224233262834463
JPM,2024-06-29,19345.0,16880.0,17.35,4143003.0,276027.0,6.12,4.187783595618927e-06,6.28561698674405e-05,15.236931445172239
JPM,2024-09-29,19249.0,17379.0,16.96,4210048.0,281381.0,4.37,4.028457632787085e-06,6.027414786357288e-05,15.252984607018746
JPM,2024-12-30,19418.0,17773.0,18.19,4002814.0,280198.0,4.81,4.544303082781264e-06,6.491837914617521e-05,15.202508171744036
JPM,2025-03-30,21449.0,18264.0,18.25,4357856.0,286895.0,5.07,4.187839157604106e-06,6.361212290210704e-05,15.287490751260652
JPM,2025-06-29,21663.0,18362.0,16.88,4552482.0,292459.0,5.24,3.707867488548005e-06,5.771749202452309e-05,15.331183136704585
JPM,2025-09-29,22461.0,18919.0,17.06,4560205.0,295770.0,5.07,3.741059886562117e-06,5.767995401832505e-05,15.332878136620423
JPM,2025-12-30,20803.0,17546.0,16.69,4424900.0,297980.0,4.63,3.7718366516757444e-06,5.601047050137594e-05,15.302758237298752
LRCX,2021-06-26,4145.18,1315.93,69.8,15892.15,82.99,0.8,0.004392105536381169,0.841065188576937,9.673580555601246
LRCX,2021-09-25,4304.47,1372.23,75.89,15565.55,85.83,0.83,0.004875510341748284,0.8841896772690202,9.652815417940463
LRCX,2021-12-25,4226.6,1338.14,76.64,16685.43,77.12,0.84,0.004593228942856132,0.9937759336099584,9.722291162504575
LRCX,2022-03-26,4060.42,1192.1,79.68,16589.03,83.11,0.73,0.004803174145805994,0.9587293947780051,9.716496912517911
LRCX,2022-06-25,4635.55,1479.35,74.85,17195.63,79.73,0.87,0.0043528501136625986,0.9387934278188886,9.752410560752912
LRCX,2022-09-24,5074.12,1697.84,73.33,18721.28,67.5,1.04,0.003916933030220156,1.0863703703703704,9.837416123762422
LRCX,2022-12-24,5277.57,1680.16,69.35,19206.38,60.25,1.08,0.0036107793347835452,1.1510373443983402,9.86299779448589
